Cliente,Valor,Data
Bruno Costa,133.5,2026-02-05
Bruno Costa,217.41,2026-01-14
Bruno Costa,605.5,2026-03-11
Ana Silva,492.87,2026-01-05
Ana Silva,120.27,2026-01-30
Elisa Rocha,501.51,2026-03-13
Bruno Costa,587.01,2026-03-31
Elisa Rocha,364.64,2026-02-27
Elisa Rocha,258.64,2026-01-01
Bruno Costa,573.6,2026-02-13
Carla Mendes,166.61,2026-02-13
Ana Silva,119.56,2026-01-13
Carla Mendes,685.62,2026-03-19
Carla Mendes,655.35,2026-02-28
Elisa Rocha,143.62,2026-02-18
Ana Silva,464.03,2026-03-22
Elisa Rocha,714.09,2026-02-16
Elisa Rocha,194.22,2026-01-09
Ana Silva,545.95,2026-02-07
Ana Silva,691.49,2026-01-13
 Ana Silva,120.0,2026-02-15
Diego Santos,-50.0,2026-03-01
